Unnamed: 0,accuracies,ucc_energy_1,ucc_length,ucc_energy_2,ucc_energy_3,ucc_energy_4,ucc_energy_5,ucc_energy_6,ucc_energy_7,ucc_energy_8,ucc_energy_9,ucc_energy_10,ucc_energy_11,ucc_energy_12,ucc_energy_13,ucc_energy_14,ucc_energy_15,ucc_energy_16,ucc_energy_17,ucc_energy_18,ucc_energy_19,ucc_energy_20,ucc_energy_21,ucc_energy_22,ucc_energy_23,ucc_energy_24,ucc_energy_25,ucc_energy_26,ucc_energy_27,ucc_energy_28,ucc_energy_29,ucc_energy_30,ucc_energy_31,ucc_energy_32,ucc_energy_33,ucc_energy_34,ucc_energy_35,ucc_energy_36,ucc_energy_37,ucc_energy_38,ucc_energy_39,ucc_energy_40,ucc_energy_41,ucc_energy_42,ucc_energy_43,ucc_energy_44,ucc_energy_45,ucc_energy_46,ucc_energy_47,ucc_energy_48,ucc_energy_49
0,13.51670764,-1.022819718,0.861819239,-1.022805723,-1.015419278,-1.022758877,-1.022853357,-1.015557064,-1.015425439,-1.015314775,-1.022771775,-1.015457203,-1.02280106,-1.022785324,-1.022783384,-1.015332243,-1.015503323,-1.02279097,-1.003288988,-1.022769326,-1.015403486,-1.015590321,-1.022648332,-1.022805694,-1.022776807,-1.015614811,-1.0227,-1.0154,-1.0155,-1.0229,-1.0155,-1.0217,-1.0227,-1.0033,-1.0228,-1.0155,-1.0227,-1.0226,-1.0155,-1.0156,-1.070027858,-1.076625591,-1.070346107,-1.077395109,-1.081133903,-1.06742935,-1.068954136,-1.070657805,-1.083412594,-1.068541978,-1.0228777438146226
1,15.50209673,-1.035327608,0.842936524,-1.028831265,-1.035331436,-1.028604623,-1.035264015,-1.035244971,-1.035190178,-1.035222681,-1.035131865,-1.035276035,-1.035212496,-1.035254986,-1.035275678,-1.028580171,-1.03501092,-1.02859577,-1.028764776,-1.035192043,-1.028665664,-1.028813921,-1.035346309,-1.035218925,-1.035270872,-1.035311933,-1.0353,-1.0285,-1.0352,-1.0352,-1.0178,-1.0286,-1.0352,-1.0288,-1.0352,-1.0287,-1.0285,-1.0353,-1.0353,-1.0353,-1.08460906,-1.07915133,-0.900336531,-1.082993919,-1.087691051,-1.093239338,-1.08312485,-1.087010718,-1.095449484,-1.076358385,-1.0354037851218258
2,17.77910786,-1.046607614,0.829179607,-1.040568876,-1.040545214,-1.040682908,-1.04546786,-1.040579474,-1.030229407,-1.046663987,-1.046426789,-1.04657148,-1.046630925,-1.046497958,-1.040685498,-1.046665762,-1.04061564,-1.029993724,-1.040658221,-1.040561503,-1.040701852,-1.046499126,-1.040747884,-1.046616066,-1.046557012,-1.04678451,-1.0465,-1.0406,-1.0466,-1.0409,-1.0408,-1.0407,-1.0407,-1.0466,-1.0409,-1.0406,-1.0467,-1.0466,-1.0406,-1.0466,-1.108951594,-1.092049552,-1.109424849,-1.083477962,-1.090869437,-1.094911118,-1.107891734,-1.099915842,-1.107447915,-1.076826515,-1.0467794960414396
3,20.39057566,-1.056484524,0.81955996,-1.05139671,-1.051568579,-1.057010441,-1.050736884,-1.05161645,-1.056797743,-1.056823896,-1.057066354,-1.056824305,-1.042598999,-1.056765062,-1.056751478,-1.056401886,-1.042641241,-1.051537709,-1.051548733,-1.051533056,-1.05148345,-1.056746061,-1.051618614,-1.056747339,-1.051576599,-1.042720302,-1.0568,-1.0569,-1.0568,-1.0518,-1.0497,-1.0517,-1.057,-1.0514,-1.0517,-1.0517,-1.0516,-1.0495,-1.0512,-1.0567,-1.098993603,-1.096015565,-1.102839277,-1.098652164,-0.907839359,-1.089616101,-1.098634663,-1.100945103,-1.105724336,-1.097128215,-1.057074166312365
4,23.38562649,-1.065969758,0.808791011,-1.061345143,-1.065767399,-1.064080973,-1.065669535,-1.06629101,-1.062070012,-1.061130558,-1.066049258,-1.060751275,-1.060532576,-1.061189649,-1.060993754,-1.061479209,-1.061503976,-1.059008905,-1.065369113,-1.061221444,-1.066306234,-1.060939675,-1.058969067,-1.065991657,-1.061191956,-1.056951167,-1.066,-1.0527,-1.0608,-1.0605,-1.0648,-1.0564,-1.066,-1.066,-1.0527,-1.0534,-1.0604,-1.0532,-1.066,-1.0613,-1.10656073,-1.09394118,-1.097339241,-1.090866901,-1.081862291,-1.087712701,-1.10286774,-1.096673511,-1.092758022,-1.102572581,-1.066343287577456
5,26.82060259,-1.070922117,0.801890859,-1.074190499,-1.073734889,-1.072308649,-1.069914844,-1.069795867,-1.063109522,-1.070250693,-1.074259568,-1.06949182,-1.074263132,-1.069556572,-1.07248164,-1.062751849,-1.070459631,-1.070082304,-1.074282019,-1.069956041,-1.073513894,-1.063571933,-1.071802304,-1.070092442,-1.068493498,-1.073776315,-1.0705,-1.0745,-1.0734,-1.0701,-1.0737,-1.0704,-1.0631,-1.0633,-1.0719,-1.0704,-1.07,-1.0702,-1.0735,-1.0741,-1.102631428,-1.101300944,-1.109122813,-1.106722573,-1.106752207,-1.10264926,-1.088882136,-1.10730643,-1.111030857,-1.107693863,-1.0746478063551699
6,30.76012197,-1.079131374,0.795025515,-1.07176362,-1.081595387,-1.080256563,-1.082048036,-1.077683063,-1.071597788,-1.078197705,-1.072244076,-1.079774522,-1.080631452,-1.07937568,-1.070667144,-1.077816165,-1.081575717,-1.078259159,-1.077542413,-1.080545429,-1.080797244,-1.077829908,-1.070975932,-1.081160354,-1.070545882,-1.079058194,-1.0812,-1.0778,-1.0762,-1.0714,-1.0816,-1.071,-1.0761,-1.0757,-1.076,-1.071,-1.071,-1.0778,-1.0707,-1.0706,-1.116603697,-1.106745225,-1.112582066,-1.109854352,-1.100485956,-1.102049168,-1.109852762,-1.106486259,-1.117648613,-1.110659892,-1.0820648573538862
7,35.27829401,-1.085342161,0.787178302,-1.0847898,-1.079358232,-1.088209558,-1.08483952,-1.084367752,-1.079733317,-1.08475764,-1.079406307,-1.088493998,-1.085055469,-1.078740939,-1.088283381,-1.08542496,-1.085116603,-1.08350882,-1.084458799,-1.084870325,-1.087016988,-1.08480734,-1.082113856,-1.088658915,-1.083635592,-1.082497323,-1.0879,-1.0792,-1.084,-1.0887,-1.0829,-1.0845,-1.086,-1.0797,-1.0842,-1.0844,-1.0848,-1.0883,-1.0795,-1.0882,-1.112562648,-1.104236472,-0.911741898,-1.110573692,-1.111122585,-0.914581035,-1.10790189,-1.119665077,-1.116343407,-1.116747674,-1.0883214326102484
8,40.46011357,-1.086925509,0.784717031,-1.093781524,-1.091653201,-1.088774814,-1.090843736,-1.087297517,-1.092719122,-1.092866826,-1.091113623,-1.094539599,-1.093239594,-1.086855396,-1.086229679,-1.087964391,-1.086256059,-1.090322604,-1.090006984,-1.091505858,-1.086464765,-1.091655849,-1.090842408,-1.09433981,-1.093814697,-1.089573776,-1.0865,-1.0895,-1.0921,-1.0902,-1.0932,-1.0931,-1.0937,-1.087,-1.0903,-1.0885,-1.089,-1.0889,-1.0917,-1.09,-1.124693434,-1.114928134,-1.115460133,-1.117795982,-1.116074143,-1.119782224,-1.114032848,-1.1178235,-1.114625794,-1.114545128,-1.094218196821077
9,46.40305989,-1.093006164,0.775417839,-1.092459257,-1.095916307,-1.095671012,-1.096736884,-1.096355771,-1.097970481,-1.092888085,-1.098030193,-1.097205082,-1.097128878,-1.099707305,-1.092427568,-1.097686682,-1.092845688,-1.096292978,-1.096570449,-1.096627315,-1.092437288,-1.09368528,-1.093430869,-1.096570448,-1.092591678,-1.095862694,-1.0972,-1.0958,-1.0923,-1.0996,-1.0995,-1.0951,-1.0929,-1.0993,-1.0963,-1.0932,-1.0997,-1.0961,-1.0967,-1.0997,-0.916638755,-1.117804327,-1.118287081,-1.118896591,-1.124503458,-1.11971784,-1.119657835,-1.119603784,-1.119418196,-1.11579356,-1.0994636300289853
