distance,reference
0.2,0.16417501206169538
0.21,0.04971233928530161
0.22,-0.05303418459718756
0.23,-0.14558702259601475
0.24,-0.2292185083772318
0.25,-0.305000533759364
0.26,-0.37384276667514227
0.27,-0.4365223784780812
0.28,-0.49370740785939105
0.29,-0.5459753012680795
0.3,-0.5938277585357279
0.31,-0.6377027205795629
0.32,-0.6779841263069506
0.33,-0.7150099133118333
0.34,-0.7490786248200603
0.35,-0.7804549020715261
0.36,-0.8093740789103698
0.37,-0.8360460481591636
0.38,-0.860658533375388
0.39,-0.8833798719540986
0.4,-0.9043613941635398
0.41,-0.9237394660537397
0.42,-0.9416372511340407
0.43,-0.9581662354342892
0.44,-0.9734275524159972
0.45,-0.9875131377072348
0.46,-1.0005067384355226
0.47,-1.0124847977498257
0.48,-1.0235172317396264
0.49,-1.0336681132113321
0.5,-1.0429962745400954
0.51,-1.051555839976174
0.52,-1.0593966962707349
0.53,-1.0665649092317344
0.54,-1.0731030927767944
0.55,-1.0790507361774584
0.56,-1.084444494454449
0.57,-1.0893184462618444
0.58,-1.093704323069145
0.59,-1.0976317129965698
0.6,-1.1011282422677011
0.61,-1.1042197369043025
0.62,-1.106930366991346
0.63,-1.109282775579911
0.64,-1.1112981940647866
0.65,-1.1129965456691686
0.66,-1.1143965384858265
0.67,-1.1155157493602608
0.68,-1.1163706997539764
0.69,-1.1169769245934433
0.7,-1.1173490349902795
0.71,-1.1175007756103161
0.72,-1.1174450773714697
0.73,-1.1171941060626058
0.74,-1.1167593073964253
0.75,-1.1161514489386013
0.76,-1.1153806592921311
0.77,-1.114456464859441
0.78,-1.1133878244551347
0.79,-1.1121831619985134
0.8,-1.1108503974765958
0.81,-1.1093969763354266
0.82,-1.1078298974288863
0.83,-1.1061557396306074
0.84,-1.104380687193355
0.85,-1.1025105539245945
0.86,-1.1005508062325555
0.87,-1.0985065850865954
0.88,-1.0963827269271862
0.89,-1.094183783554492
0.9,-1.0919140410200567
0.91,-1.089577537543148
0.92,-1.0871780804716087
0.93,-1.0847192623062538
0.94,-1.0822044758083929
0.95,-1.0796369282103728
0.96,-1.0770196545506399
0.97,-1.0743555301560472
0.98,-1.071647282296323
0.99,-1.068897501036834
1.0,-1.0661086493179364
1.01,-1.0632830722907256
1.02,-1.0604230059404478
1.03,-1.0575305850301673
1.04,-1.05460785039875
1.05,-1.0516567556468375
1.06,-1.0486791732465128
1.07,-1.0456769001094686
1.08,-1.0426516626491538
1.09,-1.0396051213715347
1.1,-1.0365388750291802
1.11,-1.0334544643721848
1.12,-1.0303533755287044
1.13,-1.0272370430467508
1.14,-1.0241068526276158
1.15,-1.020964143579894
1.16,-1.017810211021606
1.17,-1.0146463078563204
1.18,-1.0114736465475969
1.19,-1.0082934007144035
1.2,-1.0051067065684895
1.21,-1.0019146642130627
1.22,-0.9987183388204812
1.23,-0.9955187617050718
1.24,-0.9923169313056591
1.25,-0.9891138140908917
1.26,-0.9859103453990608
1.27,-0.9827074302227516
1.28,-0.9795059439474403
1.29,-0.9763067330519419
1.3,-0.9731106157775786
1.31,-0.9699183827719133
1.32,-0.9667307977120407
1.33,-0.9635485979112888
1.34,-0.9603724949131358
1.35,-0.9572031750747292
1.36,-0.9540413001421331
1.37,-0.9508875078191068
1.38,-0.9477424123304135
1.39,-0.9446066049804704
1.4,-0.9414806547077981
1.41,-0.9383651086354308
1.42,-0.935260492617246
1.43,-0.9321673117799772
1.44,-0.9290860510605322
1.45,-0.9260171757381512
