distance,reference
0.5,-73.12423438846821
0.51,-73.25954561478802
0.52,-73.38554240485615
0.53,-73.50288505994972
0.54,-73.61218146975928
0.55,-73.71399201661158
0.56,-73.80883394310311
0.57,-73.89718524225245
0.58,-73.97948812451364
0.59,-74.05615211105795
0.6,-74.127556797815
0.61,-74.19405433006118
0.62,-74.25597162288103
0.63,-74.3136123587144
0.64,-74.3672587894307
0.65,-74.41717336695649
0.66,-74.46360022341088
0.67,-74.50676651897193
0.68,-74.54688367326004
0.69,-74.58414849388774
0.7,-74.61874421394108
0.71,-74.6508414485138
0.72,-74.68059907898957
0.73,-74.70816507252736
0.74,-74.73367724314107
0.75,-74.75726395985959
0.76,-74.77904480665957
0.77,-74.79913119821958
0.78,-74.81762695497596
0.79,-74.83462884050203
0.8,-74.85022706383276
0.81,-74.8645057490422
0.82,-74.87754337410999
0.83,-74.88941318089634
0.84,-74.90018355785165
0.85,-74.90991839704274
0.86,-74.9186774266517
0.87,-74.926516520559
0.88,-74.93348798596206
0.89,-74.93964083029672
0.9,-74.9450210085483
0.91,-74.94967165201788
0.92,-74.95363327958074
0.93,-74.95694399245485
0.94,-74.9596396533693
0.95,-74.96175405131956
0.96,-74.96331905254007
0.97,-74.96436473882429
0.98,-74.9649195339911
0.99,-74.96501031936967
1.0,-74.96466253913087
1.01,-74.96390029626708
1.02,-74.96274643998888
1.03,-74.96122264527078
1.04,-74.95934948525246
1.05,-74.9571464971481
1.06,-74.95463224230443
1.07,-74.95182436097608
1.08,-74.94873962238661
1.09,-74.94539397056681
1.1,-74.94180256645231
1.11,-74.93797982666506
1.12,-74.93393945937584
1.13,-74.92969449760362
1.14,-74.92525733027053
1.15,-74.92063973130274
1.16,-74.91585288702971
1.17,-74.91090742210498
1.18,-74.90581342414536
1.19,-74.90058046725446
1.2,-74.89521763457486
1.21,-74.88973353998935
1.22,-74.88413634907094
1.23,-74.87843379936442
1.24,-74.87263322006164
1.25,-74.86674155112365
1.26,-74.86076536188533
1.27,-74.85471086916971
1.28,-74.84858395492779
1.29,-74.84239018341546
1.3,-74.8361348179077
1.31,-74.82982283695002
1.32,-74.82345895013843
1.33,-74.81704761342196
1.34,-74.81059304391361
1.35,-74.80409923420167
1.36,-74.797569966143
1.37,-74.79100882413437
1.38,-74.78441920784361
1.39,-74.77780434439488
1.4,-74.77116729999712
1.41,-74.76451099101264
1.42,-74.75783819445766
1.43,-74.75115155793671
1.44,-74.74445360900748
1.45,-74.737746763982
1.46,-74.73103333616713
1.47,-74.72431554355289
1.48,-74.71759551595663
1.49,-74.71087530163709
1.5,-74.70415687338826
1.51,-74.6974421341328
1.52,-74.69073292202764
1.53,-74.68403101510437
1.54,-74.67733813546046
