distance,reference
0.2,-3.99984448728018
0.21,-4.283195673278001
0.22,-4.535740928419566
0.23,-4.761821083824858
0.24,-4.965023001964832
0.25,-5.148336275779057
0.26,-5.314273115572224
0.27,-5.464960877202631
0.28,-5.6022140473927475
0.29,-5.727590662044749
0.3,-5.842436830789529
0.31,-5.9479221063339
0.32,-6.045067758452925
0.33,-6.134769514302007
0.34,-6.217815957679853
0.35,-6.294903504334847
0.36,-6.366648663399721
0.37,-6.433598138615559
0.38,-6.496237204822274
0.39,-6.554996704846594
0.4,-6.610258944110962
0.41,-6.662362708805952
0.42,-6.711607595711664
0.43,-6.75825781469543
0.44,-6.802545605811853
0.45,-6.844674397526048
0.46,-6.884821814275339
0.47,-6.923142612052316
0.48,-6.959771574340832
0.49,-6.994826341711217
0.5,-7.028410094541936
0.51,-7.060613983600543
0.52,-7.091519220299415
0.53,-7.1211987873569615
0.54,-7.149718785806563
0.55,-7.177139473209179
0.56,-7.203516062729227
0.57,-7.228899348556542
0.58,-7.253336209664752
0.59,-7.27687002884219
0.6,-7.299541051341893
0.61,-7.3213866984867995
0.62,-7.342441845693729
0.63,-7.362739070857359
0.64,-7.382308877013763
0.65,-7.401179892101732
0.66,-7.419379048045363
0.67,-7.436931741062443
0.68,-7.453861974914005
0.69,-7.4701924886808735
0.7,-7.4859448705454605
0.71,-7.501139658955498
0.72,-7.515796432446841
0.73,-7.529933889300136
0.74,-7.543569918109985
0.75,-7.556721660246796
0.76,-7.569405565102846
0.77,-7.581637438928286
0.78,-7.593432487985224
0.79,-7.6048053566758185
0.8,-7.615770161236
0.81,-7.626340519536739
0.82,-7.636529577404983
0.83,-7.6463500321725615
0.84,-7.655814153163391
0.85,-7.66493380046634
0.86,-7.673720441434494
0.87,-7.682185165582164
0.88,-7.690338698098596
0.89,-7.698191412143766
0.9,-7.70575334014125
0.91,-7.7130341842341394
0.92,-7.720043326051071
0.93,-7.726789835908484
0.94,-7.733282481556889
0.95,-7.739529736561822
0.96,-7.745539788394865
0.97,-7.751320546290989
0.98,-7.7568796489541825
0.99,-7.762224472066834
1.0,-7.767362135748563
1.01,-7.772299511875737
1.02,-7.777043231369788
1.03,-7.781599691376722
1.04,-7.785975062402121
1.05,-7.790175295375705
1.06,-7.794206128646702
1.07,-7.798073094903676
1.08,-7.80178152801156
1.09,-7.805336569757078
1.1,-7.80874317649342
1.11,-7.812006125674625
1.12,-7.815130022270603
1.13,-7.81811930505361
1.14,-7.820978252747957
1.15,-7.82371099003546
1.16,-7.826321493409707
1.17,-7.828813596873552
1.18,-7.831190997474765
1.19,-7.83345726067612
1.2,-7.8356158255569195
1.21,-7.837670009844007
1.22,-7.839623014771193
1.23,-7.841477929766716
1.24,-7.8432377369692645
1.25,-7.84490531557397
1.26,-7.846483446009957
1.27,-7.847974813952025
1.28,-7.84938201416759
1.29,-7.850707554212983
1.3,-7.851953857956761
1.31,-7.853123268967891
1.32,-7.854218053748754
1.33,-7.855240404826827
1.34,-7.856192443708382
1.35,-7.857076223699143
1.36,-7.8578937325966765
1.37,-7.858646895259527
1.38,-7.85933757605815
1.39,-7.859967581212483
1.4,-7.860538661021136
1.41,-7.861052511987102
1.42,-7.861510778844609
1.43,-7.861915056491853
1.44,-7.86226689183416
1.45,-7.862567785541792
1.46,-7.86281919372691
1.47,-7.8630225295434775
1.48,-7.863179164714704
1.49,-7.863290430989044
1.5,-7.863357621535121
1.51,-7.863381992270012
1.52,-7.863364763130918
1.53,-7.863307119290748
1.54,-7.863210212320877
1.55,-7.863075161304083
1.56,-7.862903053900102
1.57,-7.862694947366679
1.58,-7.862451869538107
1.59,-7.862174819763763
1.6,-7.861864769808648
1.61,-7.861522664718059
1.62,-7.861149423648053
1.63,-7.860745940663753
1.64,-7.860313085506851
1.65,-7.859851704334227
1.66,-7.859362620428774
1.67,-7.858846634884134
1.68,-7.858304527264515
1.69,-7.857737056240735
1.7,-7.857144960203827
1.71,-7.8565289578570665
1.72,-7.8558897487876544
1.73,-7.855228014018884
1.74,-7.85454441654369
1.75,-7.85383960184052
1.76,-7.8531141983722454
1.77,-7.852368818068942
1.78,-7.851604056795079
1.79,-7.85082049480211
1.8,-7.850018697166803
1.81,-7.8491992142160685
1.82,-7.848362581938739
1.83,-7.847509322385083
1.84,-7.846639944054212
1.85,-7.845754942270178
1.86,-7.844854799547069
1.87,-7.843939985943547
1.88,-7.843010959407309
1.89,-7.842068166109774
1.9,-7.841112040771399
1.91,-7.8401430069781295
1.92,-7.839161477489036
1.93,-7.8381678545356905
1.94,-7.837162530113466
1.95,-7.836145886265125
1.96,-7.8351182953569225
1.97,-7.834080120347503
1.98,-7.833031715049774
1.99,-7.831973424386112
2.0,-7.830905584637077
2.01,-7.829828523683732
2.02,-7.828742561243947
2.03,-7.827648009102757
2.04,-7.8265451713369565
2.05,-7.825434344534214
2.06,-7.824315818006681
2.07,-7.8231898739993975
2.08,-7.822056787893655
2.09,-7.820916828405195
2.1,-7.8197702577777095
2.11,-7.818617331971656
2.12,-7.817458300848196
2.13,-7.816293408348956
2.14,-7.815122892671085
2.15,-7.813946986438175
2.16,-7.812765916866883
2.17,-7.811579905929377
2.18,-7.810389170511781
2.19,-7.809193922568555
2.2,-7.807994369272978
2.21,-7.806790713163791
2.22,-7.80558315228794
2.23,-7.80437188033973
2.24,-7.803157086796162
2.25,-7.801938957048714
2.26,-7.800717672531421
2.27,-7.7994934108455745
2.28,-7.798266345880831
2.29,-7.797036647932853
2.3,-7.795804483817636
2.31,-7.794570016982335
2.32,-7.793333407612894
2.33,-7.792094812738312
2.34,-7.790854386331686
2.35,-7.789612279408003
2.36,-7.788368640118823
2.37,-7.787123613843765
2.38,-7.785877343278903
2.39,-7.78462996852211
2.4,-7.783381627155393
2.41,-7.782132454324193
2.42,-7.780882582813787
2.43,-7.779632143122737
2.44,-7.778381263533492
2.45,-7.777130070180157
2.46,-7.775878687113498
2.47,-7.774627236363168
2.48,-7.773375837997246
2.49,-7.772124610179153
2.5,-7.7708736692219045
2.51,-7.769623129639887
2.52,-7.7683731041980275
2.53,-7.767123703958631
2.54,-7.765875038325682
2.55,-7.764627215086861
2.56,-7.763380340453243
2.57,-7.762134519096833
2.58,-7.7608898541857325
2.59,-7.759646447417383
2.6,-7.758404399049612
2.61,-7.757163807929687
2.62,-7.755924771521464
2.63,-7.754687385930627
2.64,-7.753451745928067
2.65,-7.752217944971557
2.66,-7.750986075225677
2.67,-7.7497562275801375
2.68,-7.748528491666541
