distance,reference
0.5,-138.72797172058432
0.51,-139.27691718377608
0.52,-139.79224928563366
0.53,-140.2761555469167
0.54,-140.7306605875487
0.55,-141.15764037899172
0.56,-141.5588351136807
0.57,-141.9358608287414
0.58,-142.29021990120646
0.59,-142.62331052039804
0.6,-142.93643523584714
0.61,-143.23080867348625
0.62,-143.5075645069761
0.63,-143.7677617645199
0.64,-144.01239054435328
0.65,-144.24237720443404
0.66,-144.45858908425166
0.67,-144.66183880948145
0.68,-144.8528882236326
0.69,-145.03245198505164
0.7,-145.2012008627097
0.71,-145.35976476000036
0.72,-145.50873549233265
0.73,-145.64866934137868
0.74,-145.78008940642997
0.75,-145.90348777133437
0.76,-146.01932750361573
0.77,-146.12804450097426
0.78,-146.23004919890252
0.79,-146.32572815197972
0.8,-146.41544550018372
0.81,-146.49954433058411
0.82,-146.57834794372835
0.83,-146.652161033139
0.84,-146.72127078548112
0.85,-146.78594790817868
0.86,-146.84644759052964
0.87,-146.9030104037293
0.88,-146.95586314462184
0.89,-147.00521962747825
0.9,-147.05128142764616
0.91,-147.0942385805117
0.92,-147.134270238875
0.93,-147.17154529153552
0.94,-147.20622294563685
0.95,-147.23845327509179
0.96,-147.2683777372211
0.97,-147.29612965960928
0.98,-147.3218346989889
0.99,-147.3456112739
1.0,-147.36757097272232
1.01,-147.3878189385985
1.02,-147.40645423267955
1.03,-147.42357017703253
1.04,-147.4392546784761
1.05,-147.45359053452634
1.06,-147.46665572258914
1.07,-147.47852367340516
1.08,-147.48926352975954
1.09,-147.49894039133855
1.1,-147.50761554658666
1.11,-147.5153466923289
1.12,-147.52218814189564
1.13,-147.5281910223907
1.14,-147.53340346171458
1.15,-147.53787076590208
1.16,-147.54163558727228
1.17,-147.54473808386462
1.18,-147.5472160705759
1.19,-147.54910516239124
1.2,-147.55043891006437
1.21,-147.55124892857677
1.22,-147.55156501867137
1.23,-147.55141528175966
1.24,-147.5508262284445
1.25,-147.54982288092796
1.26,-147.54842886952773
1.27,-147.5466665235325
1.28,-147.5445569566159
1.29,-147.54212014701403
1.3,-147.5393750126814
1.31,-147.53633948162218
1.32,-147.53303055759596
1.33,-147.52946438139807
1.34,-147.52565628790958
1.35,-147.5216208591093
1.36,-147.51737197323223
1.37,-147.51292285029294
1.38,-147.50828609413054
1.39,-147.5034737311802
1.4,-147.49849724615842
1.41,-147.49336761483974
1.42,-147.4880953341085
1.43,-147.48269044946275
1.44,-147.47716258014358
1.45,-147.47152094205867
1.46,-147.4657743686669
1.47,-147.45993132998197
1.48,-147.45399994985
1.49,-147.44798802164846
1.5,-147.44190302255123
1.51,-147.4357521264924
1.52,-147.42954221596023
1.53,-147.42327989274196
1.54,-147.4169714877369
1.55,-147.41062306994206
1.56,-147.4042404547166
1.57,-147.39782921141426
1.58,-147.39139467047133
1.59,-147.38494193003334
1.6,-147.37847586218862
1.61,-147.37200111887702
1.62,-147.36552213753305
1.63,-147.35904314651708
1.64,-147.35256817037893
1.65,-147.3461010349997
1.66,-147.3396453726403
1.67,-147.33320462693706
1.68,-147.32678205785786
1.69,-147.32038074664965
1.7,-147.31400360078774
1.71,-147.30765335894105
1.72,-147.30133259596238
1.73,-147.29504372790953
1.74,-147.28878901709788
1.75,-147.28257057718596
1.76,-147.2763903782906
1.77,-147.27025025212743
1.78,-147.26415189716897
1.79,-147.2580968838161
1.8,-147.25208665956757
1.81,-147.24612255418458
1.82,-147.24020578483407
1.83,-147.2343374612018
1.84,-147.22851859056357
1.85,-147.22275008280167
1.86,-147.21703275535654
1.87,-147.2113673381009
1.88,-147.20575447812408
1.89,-147.20019474441906
1.9,-147.19468863245933
1.91,-147.1892365686563
1.92,-147.1838389146904
1.93,-147.17849597170593
1.94,-147.17320798436003
1.95,-147.1679751447297
1.96,-147.1627975960592
1.97,-147.15767543634763
1.98,-147.1526087217796
1.99,-147.14759746998567
2.0,-147.14264166313882
